prolific_id,reward,total,role,cond,wave,src
56e5adeab2093a000d4f18d2,3.3,4.61,delegator,no_punish,main,Main I - del - no punish.pdf
588126f90234ec00016eff60,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
5a65011f63394a0001556857,3.0,4.21,delegator,no_punish,main,Main I - del - no punish.pdf
5c7cf4e3ac90ae000144c9b9,3.0,4.21,delegator,no_punish,main,Main I - del - no punish.pdf
5c80e889a1d4b900114f2be3,5.3,7.4,delegator,no_punish,main,Main I - del - no punish.pdf
5d2df1ce54cf6d0001df7e17,3.0,4.18,delegator,no_punish,main,Main I - del - no punish.pdf
5dbefec9f8e3f93a249ed94a,3.5,4.89,delegator,no_punish,main,Main I - del - no punish.pdf
5e5441f2c65ccb44a4e3d463,3.3,4.64,delegator,no_punish,main,Main I - del - no punish.pdf
5e98ccf370194e0f49a1333b,3.0,4.22,delegator,no_punish,main,Main I - del - no punish.pdf
5f034e4e4e80ca2344b11ae1,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
5f102f0212ea4f000a8ac9da,5.0,6.99,delegator,no_punish,main,Main I - del - no punish.pdf
5f54b7bc649418811db24711,5.0,7.0,delegator,no_punish,main,Main I - del - no punish.pdf
5f56bfb85619fa12df98d7d7,3.0,4.18,delegator,no_punish,main,Main I - del - no punish.pdf
5fad5245ca80c102cff61069,3.0,4.19,delegator,no_punish,main,Main I - del - no punish.pdf
5fb997d62e675a62d4512560,5.3,7.4,delegator,no_punish,main,Main I - del - no punish.pdf
604f684950227bd07a37376d,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
61518deddeaeef3d2d107c38,3.0,4.21,delegator,no_punish,main,Main I - del - no punish.pdf
62d28f109e5c437c89dac211,3.0,4.18,delegator,no_punish,main,Main I - del - no punish.pdf
6310d187315505a30722cd64,3.3,4.63,delegator,no_punish,main,Main I - del - no punish.pdf
63191a142fc45c3bf7036510,3.8,5.33,delegator,no_punish,main,Main I - del - no punish.pdf
637ffd0ae752c8e33f91798b,3.3,4.63,delegator,no_punish,main,Main I - del - no punish.pdf
6384dfb0cfe3f1ba71f9ad11,5.0,7.01,delegator,no_punish,main,Main I - del - no punish.pdf
63d41c63af65d54621b0d37a,5.0,6.98,delegator,no_punish,main,Main I - del - no punish.pdf
63d7d315ebf6c98c92c2a7a1,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
63d820d4711332d56473bd98,3.0,4.21,delegator,no_punish,main,Main I - del - no punish.pdf
63e51d0dedeebfa7950e7d6a,3.5,4.88,delegator,no_punish,main,Main I - del - no punish.pdf
64406228450534e2b06b72a4,3.0,4.22,delegator,no_punish,main,Main I - del - no punish.pdf
64415bcdc97b9b266459aed7,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
644a9b73b330d90e0b970dba,5.3,7.4,delegator,no_punish,main,Main I - del - no punish.pdf
645514dc6131c93e54f0792f,5.0,6.98,delegator,no_punish,main,Main I - del - no punish.pdf
64610526db3f73f93d08710a,5.0,7.01,delegator,no_punish,main,Main I - del - no punish.pdf
5855878ec41fd900014345d4,5.3,7.42,delegator,no_punish,main,Main I - del - no punish.pdf
59aaa1000acd5600012ebfb5,3.3,4.62,delegator,no_punish,main,Main I - del - no punish.pdf
5b28df1a2bc7780001c2322f,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
5b95819daa1729000192b956,3.0,4.21,delegator,no_punish,main,Main I - del - no punish.pdf
5c38dab0f0ae4c00011238c1,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
5cbf6908d074ee00016accb2,3.3,4.63,delegator,no_punish,main,Main I - del - no punish.pdf
5d416bd5af929100194e80e1,3.3,4.63,delegator,no_punish,main,Main I - del - no punish.pdf
5d51bd30f334bf00011f7e4b,3.0,4.18,delegator,no_punish,main,Main I - del - no punish.pdf
5d64dab1f1c6780001fff01e,3.0,4.18,delegator,no_punish,main,Main I - del - no punish.pdf
5da352abffef8000150eca23,3.0,4.19,delegator,no_punish,main,Main I - del - no punish.pdf
5da718379d0c290014c98357,5.3,7.42,delegator,no_punish,main,Main I - del - no punish.pdf
5db2cfccc80c2b00220ec9e5,4.0,5.59,delegator,no_punish,main,Main I - del - no punish.pdf
5e277e5b5f39769bacb46101,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
5e3b07fddc4a3431fbcc6235,5.3,7.42,delegator,no_punish,main,Main I - del - no punish.pdf
5ed925860adb8b46a34a0d1a,3.3,4.62,delegator,no_punish,main,Main I - del - no punish.pdf
5ee3c87b71f86b08dabea79c,3.0,4.18,delegator,no_punish,main,Main I - del - no punish.pdf
5ef34cc943115906d6aa397f,3.3,4.63,delegator,no_punish,main,Main I - del - no punish.pdf
60033122542fe9034f69fce9,5.0,7.0,delegator,no_punish,main,Main I - del - no punish.pdf
6020329e88ba9160b200b96b,5.0,7.02,delegator,no_punish,main,Main I - del - no punish.pdf
6096dee4df7f250e5ba9d78d,4.0,5.62,delegator,no_punish,main,Main I - del - no punish.pdf
60a0fa7c78f0ecce1f9d8a65,3.0,4.21,delegator,no_punish,main,Main I - del - no punish.pdf
60cfd66e2cc5d72d75bc9839,4.3,6.02,delegator,no_punish,main,Main I - del - no punish.pdf
60e69b85a707ad939f1dde11,3.3,4.63,delegator,no_punish,main,Main I - del - no punish.pdf
610ba90131eb1a27f1b6ec8c,3.0,4.2,delegator,no_punish,main,Main I - del - no punish.pdf
615e0029921e403470fd8272,3.0,4.18,delegator,no_punish,main,Main I - del - no punish.pdf
6176b6cf6393051a796fee4d,3.3,4.62,delegator,no_punish,main,Main I - del - no punish.pdf
62b6cb277460cccbc8f27ad5,5.0,7.0,delegator,no_punish,main,Main I - del - no punish.pdf
631123376033bb148edc0ebb,3.3,4.62,delegator,no_punish,main,Main I - del - no punish.pdf
